"home","away","score","attend","ref","season","start_datetime","start_date","start_time","home_score","away_score","home_tk","away_tk","outcome"
"Bollnäs GIF","Kalix Bandy","8 - 1","2105","Roland Fager","s1112","2011-10-28 19:00:00","2011-10-28","19:00:00","8","1","6","15","1"
"IK Sirius","GAIS Bandy","1 - 1","1945","Håkan Sjösten","s1112","2011-10-28 19:00:00","2011-10-28","19:00:00","1","1","2","16","x"
"Vetlanda BK","Broberg/Söderhamn","7 - 5","1239","Mikael Karlsson (Grästorp)","s1112","2011-10-28 19:00:00","2011-10-28","19:00:00","7","5","10","12","1"
"IFK Kungälv","Västerås SK/BK","6 - 3","1006","Anders Kristiansson","s1112","2011-10-29 15:00:00","2011-10-29","15:00:00","6","3","5","3","1"
"Västerås SK/BK","IK Sirius","10 - 1","1552","Roland Fager","s1112","2011-11-01 19:15:00","2011-11-01","19:15:00","10","1","3","2","1"
"Kalix Bandy","TB Västerås","8 - 0","1065","Keijo Hyvärinen","s1112","2011-11-02 19:00:00","2011-11-02","19:00:00","8","0","15","9","1"
"Edsbyns IF","IFK Kungälv","2 - 2","1276","Ulrik Bergman","s1112","2011-11-02 19:00:00","2011-11-02","19:00:00","2","2","8","5","x"
"Sandvikens AIK/BK","Vetlanda BK","5 - 4","1587","Jonas Kandell","s1112","2011-11-02 19:00:00","2011-11-02","19:00:00","5","4","13","10","1"
"Hammarby IF","Villa Lidköping BK","6 - 3","4030","Håkan Sjösten","s1112","2011-11-02 19:00:00","2011-11-02","19:00:00","6","3","4","1","1"
"Kalix Bandy","IK Sirius","2 - 1","1110","Peter Öhrlund","s1112","2011-11-04 19:00:00","2011-11-04","19:00:00","2","1","15","2","1"
"Edsbyns IF","IFK Vänersborg","8 - 3","1284","Håkan Sjösten","s1112","2011-11-04 19:00:00","2011-11-04","19:00:00","8","3","8","7","1"
"Broberg/Söderhamn","IFK Kungälv","6 - 5","768","Ronny Andersson","s1112","2011-11-04 19:00:00","2011-11-04","19:00:00","6","5","12","5","1"
"Bollnäs GIF","Sandvikens AIK/BK","3 - 1","2032","Ulrik Bergman","s1112","2011-11-04 19:00:00","2011-11-04","19:00:00","3","1","6","13","1"
"Västerås SK/BK","Villa Lidköping BK","9 - 4","1428","Anders Kristiansson","s1112","2011-11-04 19:00:00","2011-11-04","19:00:00","9","4","3","1","1"
"Vetlanda BK","TB Västerås","4 - 4","760","Kent Lisell","s1112","2011-11-05 15:00:00","2011-11-05","15:00:00","4","4","10","9","x"
"Villa Lidköping BK","GAIS Bandy","2 - 2","2412","Jonas Kandell","s1112","2011-11-07 19:00:00","2011-11-07","19:00:00","2","2","1","16","x"
"Hammarby IF","Sandvikens AIK/BK","2 - 7","2402","Mikael Karlsson (Uppsala)","s1112","2011-11-08 19:15:00","2011-11-08","19:15:00","2","7","4","13","2"
"IFK Vänersborg","Västerås SK/BK","3 - 3","1639","Christoffer Aidesjö","s1112","2011-11-09 19:00:00","2011-11-09","19:00:00","3","3","7","3","x"
"TB Västerås","Broberg/Söderhamn","5 - 9","343","Håkan Sjösten","s1112","2011-11-09 19:00:00","2011-11-09","19:00:00","5","9","9","12","2"
"IK Sirius","Edsbyns IF","2 - 3","1115","Kent Lisell","s1112","2011-11-09 19:00:00","2011-11-09","19:00:00","2","3","2","8","2"
"IFK Vänersborg","Kalix Bandy","5 - 6","1522","Roland Fager","s1112","2011-11-11 19:00:00","2011-11-11","19:00:00","5","6","7","15","2"
"Sandvikens AIK/BK","GAIS Bandy","7 - 3","2622","Peter Öhrlund","s1112","2011-11-11 19:00:00","2011-11-11","19:00:00","7","3","13","16","1"
"Hammarby IF","Västerås SK/BK","5 - 4","2444","Mikael Karlsson (Grästorp)","s1112","2011-11-11 19:00:00","2011-11-11","19:00:00","5","4","4","3","1"
"Bollnäs GIF","Vetlanda BK","7 - 5","2018","Thomas Nordin","s1112","2011-11-11 19:00:00","2011-11-11","19:00:00","7","5","6","10","1"
"IK Sirius","Broberg/Söderhamn","5 - 5","1175","Anders Kristiansson","s1112","2011-11-12 16:00:00","2011-11-12","16:00:00","5","5","2","12","x"
"IFK Kungälv","Kalix Bandy","5 - 3","941","Ulrik Bergman","s1112","2011-11-13 13:15:00","2011-11-13","13:15:00","5","3","5","15","1"
"TB Västerås","Bollnäs GIF","4 - 3","243","Ronny Andersson","s1112","2011-11-13 16:00:00","2011-11-13","16:00:00","4","3","9","6","1"
"Villa Lidköping BK","Edsbyns IF","8 - 1","2300","Roland Fager","s1112","2011-11-14 19:00:00","2011-11-14","19:00:00","8","1","1","8","1"
"Broberg/Söderhamn","IFK Vänersborg","4 - 6","713","Jonas Kandell","s1112","2011-11-15 18:45:00","2011-11-15","18:45:00","4","6","12","7","2"
"Edsbyns IF","Hammarby IF","7 - 0","1319","Peter Öhrlund","s1112","2011-11-16 19:00:00","2011-11-16","19:00:00","7","0","8","4","1"
"Vetlanda BK","IK Sirius","6 - 5","1286","Mikael Karlsson (Grästorp)","s1112","2011-11-16 19:00:00","2011-11-16","19:00:00","6","5","10","2","1"
"Sandvikens AIK/BK","TB Västerås","10 - 3","1012","Mikael Karlsson (Uppsala)","s1112","2011-11-16 19:00:00","2011-11-16","19:00:00","10","3","13","9","2"
"Kalix Bandy","Villa Lidköping BK","5 - 6","1510","Peteri Kuusela","s1112","2011-11-16 19:00:00","2011-11-16","19:00:00","5","6","15","1","2"
