"home","away","score","attend","ref","season","start_datetime","start_date","start_time","home_score","away_score","home_tk","away_tk","outcome"
"Hammarby IF","Broberg/Söderhamn","4 - 4","2440","Andrey Tokmakov","s1112","2012-01-18 19:00:00","2012-01-18","19:00:00","4","4","4","12","x"
"Villa Lidköping BK","Vetlanda BK","12 - 4","2435","Jonas Kandell","s1112","2012-01-18 19:00:00","2012-01-18","19:00:00","12","4","1","10","2"
"Bollnäs GIF","IK Sirius","4 - 1","2249","Keijo Hyvärinen","s1112","2012-01-20 19:00:00","2012-01-20","19:00:00","4","1","6","2","1"
"Vetlanda BK","IFK Vänersborg","2 - 1","1346","Håkan Sjösten","s1112","2012-01-20 19:00:00","2012-01-20","19:00:00","2","1","10","7","1"
"Sandvikens AIK/BK","Västerås SK/BK","6 - 0","2136","Kent Lisell","s1112","2012-01-20 19:00:00","2012-01-20","19:00:00","6","0","13","3","1"
"Edsbyns IF","GAIS Bandy","2 - 2","1170","Ulrik Bergman","s1112","2012-01-20 19:00:00","2012-01-20","19:00:00","2","2","8","16","x"
"Kalix Bandy","Hammarby IF","3 - 5","760","Roland Fager","s1112","2012-01-20 19:00:00","2012-01-20","19:00:00","3","5","15","4","2"
"Broberg/Söderhamn","Villa Lidköping BK","3 - 6","1022","Jonas Kandell","s1112","2012-01-20 19:00:00","2012-01-20","19:00:00","3","6","12","1","2"
"GAIS Bandy","Bollnäs GIF","4 - 4","1403","Ulrik Bergman","s1112","2012-01-22 15:00:00","2012-01-22","15:00:00","4","4","16","6","x"
"TB Västerås","IFK Kungälv","2 - 7","253","Ronny Andersson","s1112","2012-01-22 16:00:00","2012-01-22","16:00:00","2","7","9","5","2"
"GAIS Bandy","Västerås SK/BK","3 - 5","502","Peter Öhrlund","s1112","2012-01-24 19:00:00","2012-01-24","19:00:00","3","5","16","3","2"
"IFK Kungälv","Bollnäs GIF","3 - 4","915","Jonas Kandell","s1112","2012-01-24 19:00:00","2012-01-24","19:00:00","3","4","5","6","2"
"IFK Vänersborg","Broberg/Söderhamn","4 - 4","1633","Christoffer Aidesjö","s1112","2012-01-24 19:00:00","2012-01-24","19:00:00","4","4","7","12","x"
"Villa Lidköping BK","Kalix Bandy","12 - 5","2714","Kent Lisell","s1112","2012-01-24 19:00:00","2012-01-24","19:00:00","12","5","1","15","2"
"TB Västerås","Sandvikens AIK/BK","3 - 8","261","Roland Fager","s1112","2012-01-24 19:00:00","2012-01-24","19:00:00","3","8","9","13","2"
"IK Sirius","Vetlanda BK","6 - 2","1012","Ronny Andersson","s1112","2012-01-24 19:00:00","2012-01-24","19:00:00","6","2","2","10","1"
"Hammarby IF","Edsbyns IF","7 - 5","3311","Håkan Sjösten","s1112","2012-01-24 19:00:00","2012-01-24","19:00:00","7","5","4","8","1"
"GAIS Bandy","TB Västerås","9 - 0","324","Henric Björkholm","s1112","2012-02-03 19:00:00","2012-02-03","19:00:00","9","0","16","9","1"
"Vetlanda BK","Bollnäs GIF","2 - 7","1786","Roland Fager","s1112","2012-02-08 19:00:00","2012-02-08","19:00:00","2","7","10","6","2"
"Edsbyns IF","IK Sirius","4 - 3","1072","Jonas Kandell","s1112","2012-02-08 19:00:00","2012-02-08","19:00:00","4","3","8","2","1"
"GAIS Bandy","Villa Lidköping BK","5 - 7","1357","Anders Kristiansson","s1112","2012-02-08 19:00:00","2012-02-08","19:00:00","5","7","16","1","2"
"Sandvikens AIK/BK","Hammarby IF","7 - 6","2024","Ulrik Bergman","s1112","2012-02-08 19:00:00","2012-02-08","19:00:00","7","6","13","4","1"
"Broberg/Söderhamn","TB Västerås","7 - 0","615","Thomas Nordin","s1112","2012-02-08 19:00:00","2012-02-08","19:00:00","7","0","12","9","1"
"Västerås SK/BK","IFK Vänersborg","6 - 5","983","Peter Öhrlund","s1112","2012-02-08 19:00:00","2012-02-08","19:00:00","6","5","3","7","1"
"Kalix Bandy","IFK Kungälv","3 - 5","563","Kent Lisell","s1112","2012-02-09 19:00:00","2012-02-09","19:00:00","3","5","15","5","2"
"Villa Lidköping BK","Västerås SK/BK","9 - 8","3356","Roland Fager","s1112","2012-02-10 19:00:00","2012-02-10","19:00:00","9","8","1","3","1"
"Sandvikens AIK/BK","Bollnäs GIF","4 - 3","2052","Mikael Karlsson (Uppsala)","s1112","2012-02-10 19:00:00","2012-02-10","19:00:00","4","3","13","6","1"
"IFK Vänersborg","Edsbyns IF","6 - 4","1388","Henric Björkholm","s1112","2012-02-10 19:15:00","2012-02-10","19:15:00","6","4","7","8","1"
"Hammarby IF","GAIS Bandy","3 - 4","5251","Keijo Hyvärinen","s1112","2012-02-11 15:00:00","2012-02-11","15:00:00","3","4","4","16","2"
"IK Sirius","Kalix Bandy","4 - 4","2020","Thomas Nordin","s1112","2012-02-11 16:00:00","2012-02-11","16:00:00","4","4","2","15","x"
"IFK Kungälv","Broberg/Söderhamn","3 - 5","856","Ronny Andersson","s1112","2012-02-12 13:15:00","2012-02-12","13:15:00","3","5","5","12","2"
"TB Västerås","Vetlanda BK","3 - 6","310","Christoffer Aidesjö","s1112","2012-02-12 16:00:00","2012-02-12","16:00:00","3","6","9","10","2"
"Edsbyns IF","Villa Lidköping BK","4 - 7","853","Håkan Sjösten","s1112","2012-02-14 20:00:00","2012-02-14","20:00:00","4","7","8","1","2"
"Västerås SK/BK","Hammarby IF","5 - 1","1785","Peter Öhrlund","s1112","2012-02-15 19:00:00","2012-02-15","19:00:00","5","1","3","4","1"
"Bollnäs GIF","TB Västerås","10 - 3","1329","Kent Lisell","s1112","2012-02-15 19:00:00","2012-02-15","19:00:00","10","3","6","9","2"
"GAIS Bandy","Sandvikens AIK/BK","3 - 4","883","Jonas Kandell","s1112","2012-02-15 19:00:00","2012-02-15","19:00:00","3","4","16","13","2"
"Vetlanda BK","IFK Kungälv","3 - 2","1129","Mikael Karlsson (Grästorp)","s1112","2012-02-15 19:00:00","2012-02-15","19:00:00","3","2","10","5","1"
"Broberg/Söderhamn","IK Sirius","3 - 1","855","Håkan Sjösten","s1112","2012-02-15 19:00:00","2012-02-15","19:00:00","3","1","12","2","1"
"Kalix Bandy","IFK Vänersborg","1 - 5","610","Juha-Matti Kanniainen","s1112","2012-02-15 19:00:00","2012-02-15","19:00:00","1","5","15","7","2"
"Villa Lidköping BK","Hammarby IF","6 - 5","4131","Mikael Karlsson (Grästorp)","s1112","2012-02-17 19:00:00","2012-02-17","19:00:00","6","5","1","4","1"
"Bollnäs GIF","Broberg/Söderhamn","1 - 1","3169","Christoffer Aidesjö","s1112","2012-02-17 19:00:00","2012-02-17","19:00:00","1","1","6","12","x"
"IFK Kungälv","Edsbyns IF","4 - 4","1635","Thomas Nordin","s1112","2012-02-17 19:00:00","2012-02-17","19:00:00","4","4","5","8","x"
"IK Sirius","Västerås SK/BK","5 - 4","855","Anders Kristiansson","s1112","2012-02-18 16:00:00","2012-02-18","16:00:00","5","4","2","3","1"
"IFK Vänersborg","GAIS Bandy","5 - 3","3008","Henric Björkholm","s1112","2012-02-18 17:00:00","2012-02-18","17:00:00","5","3","7","16","1"
"Vetlanda BK","Sandvikens AIK/BK","6 - 7","1177","Peter Öhrlund","s1112","2012-02-18 18:00:00","2012-02-18","18:00:00","6","7","10","13","2"
"TB Västerås","Kalix Bandy","6 - 7","269","Håkan Sjösten","s1112","2012-02-19 16:00:00","2012-02-19","16:00:00","6","7","9","15","2"
"Sandvikens AIK/BK","Villa Lidköping BK","5 - 4","1988","Kent Lisell","s1112","2012-02-21 19:15:00","2012-02-21","19:15:00","5","4","13","1","1"
"Västerås SK/BK","IFK Kungälv","4 - 10","909","Henric Björkholm","s1112","2012-02-21 19:15:00","2012-02-21","19:15:00","4","10","3","5","1"
"Broberg/Söderhamn","Vetlanda BK","2 - 2","555","Jonas Kandell","s1112","2012-02-21 19:15:00","2012-02-21","19:15:00","2","2","12","10","x"
"GAIS Bandy","IK Sirius","7 - 0","816","Mikael Karlsson (Grästorp)","s1112","2012-02-21 19:15:00","2012-02-21","19:15:00","7","0","16","2","1"
"Kalix Bandy","Bollnäs GIF","4 - 9","310","Keijo Hyvärinen","s1112","2012-02-21 19:15:00","2012-02-21","19:15:00","4","9","15","6","2"
"Edsbyns IF","TB Västerås","12 - 4","907","Roland Fager","s1112","2012-02-21 19:15:00","2012-02-21","19:15:00","12","4","8","9","2"
"Hammarby IF","IFK Vänersborg","6 - 2","1923","Ronny Andersson","s1112","2012-02-21 19:15:00","2012-02-21","19:15:00","6","2","4","7","1"
"Villa Lidköping BK","Sandvikens AIK/BK","6 - 4","3338","Jonas Kandell","s1213","2012-10-20 15:45:00","2012-10-20","15:45:00","6","4","1","13","1"
"Hammarby IF","Bollnäs GIF","4 - 1","3501","Keijo Hyvärinen","s1213","2012-10-24 19:00:00","2012-10-24","19:00:00","4","1","4","6","1"
"IFK Motala","IK Sirius","1 - 5","1191","Mikael Karlsson (Grästorp)","s1213","2012-10-24 19:00:00","2012-10-24","19:00:00","1","5","17","2","2"
"GAIS Bandy","Vetlanda BK","2 - 2","427","Peter Öhrlund","s1213","2012-10-24 19:00:00","2012-10-24","19:00:00","2","2","16","10","x"
"Västerås SK/BK","IFK Kungälv","5 - 3","1489","Mikael Karlsson (Uppsala)","s1213","2012-10-24 19:00:00","2012-10-24","19:00:00","5","3","3","5","1"
"Edsbyns IF","IFK Vänersborg","6 - 4","1333","Ulrik Bergman","s1213","2012-10-24 19:00:00","2012-10-24","19:00:00","6","4","8","7","1"
"Villa Lidköping BK","Broberg/Söderhamn","5 - 2","3203","Anders Kristiansson","s1213","2012-10-24 19:00:00","2012-10-24","19:00:00","5","2","1","12","1"
"Sandvikens AIK/BK","Ljusdals BK","9 - 3","1759","Håkan Sjösten","s1213","2012-10-24 19:00:00","2012-10-24","19:00:00","9","3","13","18","1"
"IFK Vänersborg","Hammarby IF","4 - 6","1734","Roland Fager","s1213","2012-10-26 19:00:00","2012-10-26","19:00:00","4","6","7","4","2"
"IK Sirius","GAIS Bandy","2 - 5","1382","Jonas Kandell","s1213","2012-10-26 19:00:00","2012-10-26","19:00:00","2","5","2","16","2"
"Bollnäs GIF","IFK Motala","5 - 1","2045","Christoffer Aidesjö","s1213","2012-10-26 19:00:00","2012-10-26","19:00:00","5","1","6","17","1"
"Vetlanda BK","Västerås SK/BK","3 - 2","1019","Anders Kristiansson","s1213","2012-10-26 19:00:00","2012-10-26","19:00:00","3","2","10","3","1"
"Ljusdals BK","Villa Lidköping BK","1 - 8","1731","Christoffer Aidesjö","s1213","2012-10-27 20:00:00","2012-10-27","20:00:00","1","8","18","1","2"
"IFK Kungälv","Sandvikens AIK/BK","6 - 3","1106","Roland Fager","s1213","2012-10-28 13:15:00","2012-10-28","13:15:00","6","3","5","13","1"
"Broberg/Söderhamn","Edsbyns IF","5 - 4","1272","Håkan Sjösten","s1213","2012-10-31 19:00:00","2012-10-31","19:00:00","5","4","12","8","1"
"IFK Motala","IFK Vänersborg","2 - 4","725","Ulrik Bergman","s1213","2012-11-02 19:00:00","2012-11-02","19:00:00","2","4","17","7","2"
"Sandvikens AIK/BK","Vetlanda BK","5 - 5","1195","Peter Öhrlund","s1213","2012-11-02 19:00:00","2012-11-02","19:00:00","5","5","13","10","x"
"Västerås SK/BK","IK Sirius","3 - 4","1588","Keijo Hyvärinen","s1213","2012-11-02 19:00:00","2012-11-02","19:00:00","3","4","3","2","2"
"Hammarby IF","Broberg/Söderhamn","10 - 1","2392","Jonas Kandell","s1213","2012-11-02 19:00:00","2012-11-02","19:00:00","10","1","4","12","1"
"Edsbyns IF","Villa Lidköping BK","11 - 7","1429","Roland Fager","s1213","2012-11-02 19:15:00","2012-11-02","19:15:00","11","7","8","1","2"
"GAIS Bandy","Bollnäs GIF","1 - 3","439","Anders Kristiansson","s1213","2012-11-03 15:00:00","2012-11-03","15:00:00","1","3","16","6","2"
"IFK Kungälv","Ljusdals BK","8 - 2","1612","Mikael Karlsson (Grästorp)","s1213","2012-11-04 13:15:00","2012-11-04","13:15:00","8","2","5","18","1"
"Villa Lidköping BK","Hammarby IF","4 - 1","3055","Mikael Karlsson (Grästorp)","s1213","2012-11-06 19:15:00","2012-11-06","19:15:00","4","1","1","4","1"
"Bollnäs GIF","Västerås SK/BK","2 - 8","1711","Håkan Sjösten","s1213","2012-11-07 19:00:00","2012-11-07","19:00:00","2","8","6","3","2"
"Vetlanda BK","IFK Kungälv","1 - 2","1155","Jonas Kandell","s1213","2012-11-07 19:00:00","2012-11-07","19:00:00","1","2","10","5","2"
"Ljusdals BK","Edsbyns IF","2 - 9","1020","Mikael Karlsson (Uppsala)","s1213","2012-11-07 19:00:00","2012-11-07","19:00:00","2","9","18","8","2"
"IK Sirius","Sandvikens AIK/BK","3 - 6","1255","Peter Öhrlund","s1213","2012-11-07 19:00:00","2012-11-07","19:00:00","3","6","2","13","2"
"Broberg/Söderhamn","IFK Motala","7 - 3","752","Ulrik Bergman","s1213","2012-11-07 19:00:00","2012-11-07","19:00:00","7","3","12","17","1"
"IFK Vänersborg","GAIS Bandy","4 - 3","1568","Anders Kristiansson","s1213","2012-11-07 19:00:00","2012-11-07","19:00:00","4","3","7","16","1"
"Sandvikens AIK/BK","Bollnäs GIF","7 - 0","1502","Keijo Hyvärinen","s1213","2012-11-09 19:00:00","2012-11-09","19:00:00","7","0","13","6","1"
"Västerås SK/BK","IFK Vänersborg","6 - 2","1521","Håkan Sjösten","s1213","2012-11-09 19:00:00","2012-11-09","19:00:00","6","2","3","7","1"
"Hammarby IF","Edsbyns IF","6 - 1","3383","Roland Fager","s1213","2012-11-09 19:00:00","2012-11-09","19:00:00","6","1","4","8","1"
"GAIS Bandy","Broberg/Söderhamn","2 - 5","234","Mikael Karlsson (Grästorp)","s1213","2012-11-10 15:00:00","2012-11-10","15:00:00","2","5","16","12","2"
"IFK Kungälv","IK Sirius","4 - 4","839","Christoffer Aidesjö","s1213","2012-11-10 16:00:00","2012-11-10","16:00:00","4","4","5","2","x"
"Vetlanda BK","Ljusdals BK","5 - 3","979","Anders Kristiansson","s1213","2012-11-10 16:00:00","2012-11-10","16:00:00","5","3","10","18","1"
"IFK Motala","Villa Lidköping BK","2 - 6","590","Keijo Hyvärinen","s1213","2012-11-10 17:00:00","2012-11-10","17:00:00","2","6","17","1","2"
"Villa Lidköping BK","GAIS Bandy","5 - 1","3037","Christoffer Aidesjö","s1213","2012-11-13 19:00:00","2012-11-13","19:00:00","5","1","1","16","1"
"Ljusdals BK","Hammarby IF","3 - 9","863","Jonas Kandell","s1213","2012-11-13 19:15:00","2012-11-13","19:15:00","3","9","18","4","2"
"Broberg/Söderhamn","Västerås SK/BK","6 - 6","858","Mikael Karlsson (Uppsala)","s1213","2012-11-14 19:00:00","2012-11-14","19:00:00","6","6","12","3","x"
"IK Sirius","Vetlanda BK","1 - 2","855","","s1213","2012-11-14 19:00:00","2012-11-14","19:00:00","1","2","2","10","2"
"IFK Vänersborg","Sandvikens AIK/BK","2 - 6","1428","Peter Öhrlund","s1213","2012-11-14 19:00:00","2012-11-14","19:00:00","2","6","7","13","2"
"Bollnäs GIF","IFK Kungälv","2 - 2","1358","Ulrik Bergman","s1213","2012-11-14 19:00:00","2012-11-14","19:00:00","2","2","6","5","x"
"Edsbyns IF","IFK Motala","6 - 3","1103","Roland Fager","s1213","2012-11-14 19:00:00","2012-11-14","19:00:00","6","3","8","17","1"
"Sandvikens AIK/BK","Broberg/Söderhamn","4 - 7","1358","Ulrik Bergman","s1213","2012-11-16 19:00:00","2012-11-16","19:00:00","4","7","13","12","2"
"Vetlanda BK","Bollnäs GIF","6 - 4","1442","Christoffer Aidesjö","s1213","2012-11-16 19:00:00","2012-11-16","19:00:00","6","4","10","6","1"
"Västerås SK/BK","Villa Lidköping BK","4 - 4","1697","Håkan Sjösten","s1213","2012-11-16 19:00:00","2012-11-16","19:00:00","4","4","3","1","x"
"IK Sirius","Ljusdals BK","2 - 3","875","Keijo Hyvärinen","s1213","2012-11-17 15:00:00","2012-11-17","15:00:00","2","3","2","18","2"
"IFK Kungälv","IFK Vänersborg","2 - 2","1150","Håkan Sjösten","s1213","2012-11-17 15:00:00","2012-11-17","15:00:00","2","2","5","7","x"
"GAIS Bandy","Edsbyns IF","2 - 4","352","Roland Fager","s1213","2012-11-17 15:00:00","2012-11-17","15:00:00","2","4","16","8","2"
"IFK Motala","Hammarby IF","4 - 6","865","Mikael Karlsson (Grästorp)","s1213","2012-11-17 17:00:00","2012-11-17","17:00:00","4","6","17","4","2"
"IFK Vänersborg","Vetlanda BK","4 - 2","1415","Anders Kristiansson","s1213","2012-11-20 19:15:00","2012-11-20","19:15:00","4","2","7","10","1"
"Bollnäs GIF","IK Sirius","6 - 2","1613","Roland Fager","s1213","2012-11-21 19:00:00","2012-11-21","19:00:00","6","2","6","2","1"
"Broberg/Söderhamn","IFK Kungälv","5 - 6","925","Jonas Kandell","s1213","2012-11-21 19:00:00","2012-11-21","19:00:00","5","6","12","5","2"
"Edsbyns IF","Västerås SK/BK","11 - 5","1513","Håkan Sjösten","s1213","2012-11-21 19:00:00","2012-11-21","19:00:00","11","5","8","3","2"
"Hammarby IF","GAIS Bandy","8 - 1","2274","Peter Öhrlund","s1213","2012-11-21 19:00:00","2012-11-21","19:00:00","8","1","4","16","1"
"Ljusdals BK","IFK Motala","4 - 5","1148","Mikael Karlsson (Uppsala)","s1213","2012-11-24 16:00:00","2012-11-24","16:00:00","4","5","18","17","2"
"Sandvikens AIK/BK","Edsbyns IF","4 - 5","1205","Jonas Kandell","s1213","2012-11-27 19:15:00","2012-11-27","19:15:00","4","5","13","8","2"
"IK Sirius","IFK Vänersborg","6 - 3","552","Roland Fager","s1213","2012-11-28 19:00:00","2012-11-28","19:00:00","6","3","2","7","1"
"IFK Kungälv","Villa Lidköping BK","4 - 3","1138","Peter Öhrlund","s1213","2012-11-28 19:00:00","2012-11-28","19:00:00","4","3","5","1","1"
"Vetlanda BK","Broberg/Söderhamn","3 - 4","866","Mikael Karlsson (Uppsala)","s1213","2012-11-28 19:00:00","2012-11-28","19:00:00","3","4","10","12","2"
"Bollnäs GIF","Ljusdals BK","5 - 2","1908","Ulrik Bergman","s1213","2012-11-28 19:00:00","2012-11-28","19:00:00","5","2","6","18","1"
"Västerås SK/BK","Hammarby IF","4 - 6","2168","Mikael Karlsson (Grästorp)","s1213","2012-11-28 19:00:00","2012-11-28","19:00:00","4","6","3","4","2"
"GAIS Bandy","IFK Motala","3 - 2","156","Christoffer Aidesjö","s1213","2012-11-28 19:00:00","2012-11-28","19:00:00","3","2","16","17","1"
"IFK Vänersborg","Bollnäs GIF","1 - 4","1232","Peter Öhrlund","s1213","2012-11-30 19:00:00","2012-11-30","19:00:00","1","4","7","6","2"
"Broberg/Söderhamn","IK Sirius","2 - 2","410","Jonas Kandell","s1213","2012-11-30 19:00:00","2012-11-30","19:00:00","2","2","12","2","x"
"Hammarby IF","Sandvikens AIK/BK","6 - 4","3665","Igor Ivanov","s1213","2012-11-30 19:00:00","2012-11-30","19:00:00","6","4","4","13","1"
"Edsbyns IF","IFK Kungälv","3 - 2","1221","Mikael Karlsson (Uppsala)","s1213","2012-11-30 19:00:00","2012-11-30","19:00:00","3","2","8","5","1"
"Villa Lidköping BK","Vetlanda BK","7 - 1","3152","Anders Kristiansson","s1213","2012-11-30 19:00:00","2012-11-30","19:00:00","7","1","1","10","1"
"IFK Motala","Västerås SK/BK","4 - 6","556","Igor Ivanov","s1213","2012-12-01 15:00:00","2012-12-01","15:00:00","4","6","17","3","2"
"Ljusdals BK","GAIS Bandy","6 - 5","478","Jonas Kandell","s1213","2012-12-01 16:00:00","2012-12-01","16:00:00","6","5","18","16","1"
"IFK Kungälv","Hammarby IF","4 - 6","868","Mikael Karlsson (Grästorp)","s1213","2012-12-05 19:00:00","2012-12-05","19:00:00","4","6","5","4","2"
"IFK Vänersborg","Ljusdals BK","2 - 5","944","Anders Kristiansson","s1213","2012-12-05 19:00:00","2012-12-05","19:00:00","2","5","7","18","2"
"Bollnäs GIF","Broberg/Söderhamn","4 - 1","1357","Håkan Sjösten","s1213","2012-12-05 19:00:00","2012-12-05","19:00:00","4","1","6","12","1"
"Västerås SK/BK","GAIS Bandy","7 - 4","778","Roland Fager","s1213","2012-12-05 19:00:00","2012-12-05","19:00:00","7","4","3","16","1"
"Vetlanda BK","Edsbyns IF","4 - 5","838","Christoffer Aidesjö","s1213","2012-12-05 19:00:00","2012-12-05","19:00:00","4","5","10","8","2"
"Hammarby IF","Vetlanda BK","7 - 2","2006","Keijo Hyvärinen","s1213","2012-12-07 19:00:00","2012-12-07","19:00:00","7","2","4","10","1"
"Broberg/Söderhamn","IFK Vänersborg","5 - 0","575","Ulrik Bergman","s1213","2012-12-07 19:00:00","2012-12-07","19:00:00","5","0","12","7","1"
"Edsbyns IF","IK Sirius","4 - 4","1247","Peter Öhrlund","s1213","2012-12-07 19:00:00","2012-12-07","19:00:00","4","4","8","2","x"
"IFK Motala","IFK Kungälv","9 - 5","602","Keijo Hyvärinen","s1213","2012-12-08 15:00:00","2012-12-08","15:00:00","9","5","17","5","1"
"Västerås SK/BK","Ljusdals BK","5 - 3","773","Håkan Sjösten","s1213","2012-12-09 15:00:00","2012-12-09","15:00:00","5","3","3","18","1"
"Villa Lidköping BK","Bollnäs GIF","14 - 5","2523","Peter Öhrlund","s1213","2012-12-10 19:00:00","2012-12-10","19:00:00","14","5","1","6","2"
"GAIS Bandy","Sandvikens AIK/BK","5 - 7","521","Christoffer Aidesjö","s1213","2012-12-10 19:00:00","2012-12-10","19:00:00","5","7","16","13","2"
"Villa Lidköping BK","IFK Kungälv","6 - 4","2956","Christoffer Aidesjö","s1213","2012-12-19 19:00:00","2012-12-19","19:00:00","6","4","1","5","1"
"IFK Vänersborg","IK Sirius","7 - 3","1316","Peter Öhrlund","s1213","2012-12-19 19:00:00","2012-12-19","19:00:00","7","3","7","2","1"
"IFK Motala","Ljusdals BK","3 - 6","856","Roland Fager","s1213","2012-12-19 19:00:00","2012-12-19","19:00:00","3","6","17","18","2"
"GAIS Bandy","Hammarby IF","2 - 4","529","Anders Kristiansson","s1213","2012-12-19 19:00:00","2012-12-19","19:00:00","2","4","16","4","2"
"Sandvikens AIK/BK","IFK Motala","13 - 6","1019","Jonas Kandell","s1213","2012-12-21 19:00:00","2012-12-21","19:00:00","13","6","13","17","2"
"IK Sirius","Villa Lidköping BK","2 - 8","655","Roland Fager","s1213","2012-12-21 19:00:00","2012-12-21","19:00:00","2","8","2","1","2"
"Edsbyns IF","Vetlanda BK","7 - 4","1428","Peter Öhrlund","s1213","2012-12-21 19:00:00","2012-12-21","19:00:00","7","4","8","10","1"
"Ljusdals BK","Bollnäs GIF","2 - 3","1719","Håkan Sjösten","s1213","2012-12-21 19:00:00","2012-12-21","19:00:00","2","3","18","6","2"
"IK Sirius","Hammarby IF","3 - 6","3427","Roland Fager","s1213","2012-12-26 13:15:00","2012-12-26","13:15:00","3","6","2","4","2"
"Broberg/Söderhamn","Ljusdals BK","5 - 3","2285","Ulrik Bergman","s1213","2012-12-26 15:00:00","2012-12-26","15:00:00","5","3","12","18","1"
"Sandvikens AIK/BK","Västerås SK/BK","6 - 6","2718","Håkan Sjösten","s1213","2012-12-26 15:00:00","2012-12-26","15:00:00","6","6","13","3","x"
"Vetlanda BK","IFK Motala","6 - 0","1623","Christoffer Aidesjö","s1213","2012-12-26 15:00:00","2012-12-26","15:00:00","6","0","10","17","1"
"Bollnäs GIF","Edsbyns IF","7 - 3","3543","Peter Öhrlund","s1213","2012-12-26 15:00:00","2012-12-26","15:00:00","7","3","6","8","1"
"IFK Kungälv","GAIS Bandy","2 - 5","2212","Mikael Karlsson (Grästorp)","s1213","2012-12-26 16:00:00","2012-12-26","16:00:00","2","5","5","16","2"
"IFK Vänersborg","Villa Lidköping BK","8 - 7","4018","Jonas Kandell","s1213","2012-12-26 17:00:00","2012-12-26","17:00:00","8","7","7","1","1"
"Ljusdals BK","Västerås SK/BK","2 - 6","1091","Ulrik Bergman","s1213","2012-12-28 19:00:00","2012-12-28","19:00:00","2","6","18","3","2"
"Vetlanda BK","Hammarby IF","1 - 2","1635","Anders Kristiansson","s1213","2012-12-28 19:00:00","2012-12-28","19:00:00","1","2","10","4","2"
"Bollnäs GIF","Villa Lidköping BK","4 - 3","1624","Roland Fager","s1213","2012-12-28 19:00:00","2012-12-28","19:00:00","4","3","6","1","1"
"IFK Kungälv","IFK Motala","4 - 2","791","Peter Öhrlund","s1213","2012-12-28 19:00:00","2012-12-28","19:00:00","4","2","5","17","1"
"IK Sirius","Edsbyns IF","4 - 5","687","Mikael Karlsson (Grästorp)","s1213","2012-12-28 19:00:00","2012-12-28","19:00:00","4","5","2","8","2"
"Sandvikens AIK/BK","GAIS Bandy","6 - 8","1615","Keijo Hyvärinen","s1213","2012-12-28 19:00:00","2012-12-28","19:00:00","6","8","13","16","2"
"IFK Vänersborg","Broberg/Söderhamn","3 - 1","1713","Jonas Kandell","s1213","2012-12-28 19:00:00","2012-12-28","19:00:00","3","1","7","12","1"
"GAIS Bandy","Västerås SK/BK","2 - 2","421","Christoffer Aidesjö","s1213","2012-12-30 15:00:00","2012-12-30","15:00:00","2","2","16","3","x"
"Hammarby IF","IFK Kungälv","7 - 5","3777","Ulrik Bergman","s1213","2012-12-30 15:00:00","2012-12-30","15:00:00","7","5","4","5","1"
"IFK Motala","Sandvikens AIK/BK","4 - 6","619","Peter Öhrlund","s1213","2012-12-30 15:00:00","2012-12-30","15:00:00","4","6","17","13","2"
"Ljusdals BK","IFK Vänersborg","4 - 6","735","Jonas Kandell","s1213","2012-12-30 16:00:00","2012-12-30","16:00:00","4","6","18","7","2"
"Villa Lidköping BK","IK Sirius","10 - 7","3837","Mikael Karlsson (Grästorp)","s1213","2012-12-30 17:00:00","2012-12-30","17:00:00","10","7","1","2","2"
"Broberg/Söderhamn","Bollnäs GIF","5 - 3","1621","Roland Fager","s1213","2012-12-30 17:15:00","2012-12-30","17:15:00","5","3","12","6","1"
"Vetlanda BK","Villa Lidköping BK","5 - 4","1420","Christoffer Aidesjö","s1213","2013-01-02 19:00:00","2013-01-02","19:00:00","5","4","10","1","1"
"IFK Kungälv","Edsbyns IF","5 - 2","971","Mikael Karlsson (Grästorp)","s1213","2013-01-02 19:00:00","2013-01-02","19:00:00","5","2","5","8","1"
"GAIS Bandy","Ljusdals BK","6 - 2","457","Anders Kristiansson","s1213","2013-01-02 19:00:00","2013-01-02","19:00:00","6","2","16","18","1"
"IK Sirius","Broberg/Söderhamn","7 - 2","927","Håkan Sjösten","s1213","2013-01-02 19:00:00","2013-01-02","19:00:00","7","2","2","12","1"
"Västerås SK/BK","IFK Motala","7 - 3","1277","Jacob Hallkvist","s1213","2013-01-02 19:00:00","2013-01-02","19:00:00","7","3","3","17","1"
"Sandvikens AIK/BK","Hammarby IF","6 - 4","1837","Peter Öhrlund","s1213","2013-01-02 19:00:00","2013-01-02","19:00:00","6","4","13","4","1"
"Bollnäs GIF","IFK Vänersborg","0 - 2","2017","","s1213","2013-01-04 19:00:00","2013-01-04","19:00:00","0","2","6","7","2"
"Broberg/Söderhamn","Vetlanda BK","7 - 1","670","Keijo Hyvärinen","s1213","2013-01-04 19:00:00","2013-01-04","19:00:00","7","1","12","10","1"
"IFK Motala","GAIS Bandy","2 - 5","622","Jonas Kandell","s1213","2013-01-04 19:00:00","2013-01-04","19:00:00","2","5","17","16","2"
"Hammarby IF","Västerås SK/BK","4 - 1","3488","Håkan Sjösten","s1213","2013-01-04 19:15:00","2013-01-04","19:15:00","4","1","4","3","1"
"Ljusdals BK","Broberg/Söderhamn","5 - 8","761","Håkan Sjösten","s1213","2013-01-06 13:15:00","2013-01-06","13:15:00","5","8","18","12","2"
