Source page: http://elitrapport.se/schema1213.asp?gamesectionID=10008,
matchnr_link,matchnr_link/_text,matchnr_link/_title,match_link_1,match_link_1/_text,match_link_1/_title,match_link_2,match_link_2/_text,match_link_2/_title,resultat_link,resultat_link/_text,resultat_link/_title,rapport_link,rapport_link/_text,rapport_link/_title,tid_value,tid_value_dates,match_label,publik_number,domare_value
"http://www.elitrapport.se/Data/report2980.html","020000001021","","http://www.elitrapport.se/team.asp?teamID=137","Sandvikens AIK/BK","","http://www.elitrapport.se/team.asp?teamID=133","Vetlanda BK","","http://www.elitrapport.se/Data/report2980.html","5 - 5","","http://www.elitrapport.se/Data/report2980.html","Matchrapport","","2012-11-02 19:00","1351814400000","-","1195","Peter Öhrlund"
"http://www.elitrapport.se/Data/report2982.html","020000001015","","http://www.elitrapport.se/team.asp?teamID=132","Västerås SK/BK","","http://www.elitrapport.se/team.asp?teamID=116","IK Sirius Bandyklubb","","http://www.elitrapport.se/Data/report2982.html","3 - 4","","http://www.elitrapport.se/Data/report2982.html","Matchrapport","","2012-11-02 19:00","1351814400000","-","1588","Keijo Hyvärinen"
"http://www.elitrapport.se/Data/report2983.html","020000001016","","http://www.elitrapport.se/team.asp?teamID=117","Hammarby IF","","http://www.elitrapport.se/team.asp?teamID=209","Broberg/Söderhamn","","http://www.elitrapport.se/Data/report2983.html","10 - 1","","http://www.elitrapport.se/Data/report2983.html","Matchrapport","","2012-11-02 19:00","1351814400000","-","2392","Jonas Kandell"
"http://www.elitrapport.se/Data/report2981.html","020000001017","","http://www.elitrapport.se/team.asp?teamID=114","Edsbyns IF Bandy","","http://www.elitrapport.se/team.asp?teamID=115","Villa Lidköping BK","","http://www.elitrapport.se/Data/report2981.html","11 - 7","","http://www.elitrapport.se/Data/report2981.html","Matchrapport","","2012-11-02 19:15","1351814400000","-","1429","Roland Fager"
"http://www.elitrapport.se/Data/report2984.html","020000001018","","http://www.elitrapport.se/team.asp?teamID=130","GAIS Bandy","","http://www.elitrapport.se/team.asp?teamID=145","Bollnäs GIF","","http://www.elitrapport.se/Data/report2984.html","1 - 3","","http://www.elitrapport.se/Data/report2984.html","Matchrapport","","2012-11-03 15:00","1351900800000","-","439","Anders Kristiansson"
"http://www.elitrapport.se/Data/report2985.html","020000001020","","http://www.elitrapport.se/team.asp?teamID=153","IFK Kungälv","","http://www.elitrapport.se/team.asp?teamID=216","Ljusdals BK","","http://www.elitrapport.se/Data/report2985.html","8 - 2","","http://www.elitrapport.se/Data/report2985.html","Matchrapport","","2012-11-04 13:15","1351987200000","-","1612","Mikael Karlsson (Grästorp)"
"http://www.elitrapport.se/Data/report2988.html","020000001028","","http://www.elitrapport.se/team.asp?teamID=115","Villa Lidköping BK","","http://www.elitrapport.se/team.asp?teamID=117","Hammarby IF","","http://www.elitrapport.se/Data/report2988.html","4 - 1","","http://www.elitrapport.se/Data/report2988.html","Matchrapport","","2012-11-06 19:15","1352160000000","-","3055","Mikael Karlsson (Grästorp)"
"http://www.elitrapport.se/Data/report2986.html","020000001026","","http://www.elitrapport.se/team.asp?teamID=145","Bollnäs GIF","","http://www.elitrapport.se/team.asp?teamID=132","Västerås SK/BK","","http://www.elitrapport.se/Data/report2986.html","2 - 8","","http://www.elitrapport.se/Data/report2986.html","Matchrapport","","2012-11-07 19:00","1352246400000","-","1711","Håkan Sjösten"
"http://www.elitrapport.se/Data/report2987.html","020000001027","","http://www.elitrapport.se/team.asp?teamID=133","Vetlanda BK","","http://www.elitrapport.se/team.asp?teamID=153","IFK Kungälv","","http://www.elitrapport.se/Data/report2987.html","1 - 2","","http://www.elitrapport.se/Data/report2987.html","Matchrapport","","2012-11-07 19:00","1352246400000","-","1155","Jonas Kandell"
"http://www.elitrapport.se/Data/report2989.html","020000001025","","http://www.elitrapport.se/team.asp?teamID=216","Ljusdals BK","","http://www.elitrapport.se/team.asp?teamID=114","Edsbyns IF Bandy","","http://www.elitrapport.se/Data/report2989.html","2 - 9","","http://www.elitrapport.se/Data/report2989.html","Matchrapport","","2012-11-07 19:00","1352246400000","-","1020","Mikael Karlsson (Uppsala)"
"http://www.elitrapport.se/Data/report2990.html","020000001022","","http://www.elitrapport.se/team.asp?teamID=116","IK Sirius Bandyklubb","","http://www.elitrapport.se/team.asp?teamID=137","Sandvikens AIK/BK","","http://www.elitrapport.se/Data/report2990.html","3 - 6","","http://www.elitrapport.se/Data/report2990.html","Matchrapport","","2012-11-07 19:00","1352246400000","-","1255","Peter Öhrlund"
"http://www.elitrapport.se/Data/report2991.html","020000001023","","http://www.elitrapport.se/team.asp?teamID=209","Broberg/Söderhamn","","http://www.elitrapport.se/team.asp?teamID=123","IFK Motala","","http://www.elitrapport.se/Data/report2991.html","7 - 3","","http://www.elitrapport.se/Data/report2991.html","Matchrapport","","2012-11-07 19:00","1352246400000","-","752","Ulrik Bergman"
"http://www.elitrapport.se/Data/report2992.html","020000001024","","http://www.elitrapport.se/team.asp?teamID=171","IFK Vänersborg","","http://www.elitrapport.se/team.asp?teamID=130","GAIS Bandy","","http://www.elitrapport.se/Data/report2992.html","4 - 3","","http://www.elitrapport.se/Data/report2992.html","Matchrapport","","2012-11-07 19:00","1352246400000","-","1568","Anders Kristiansson"
"http://www.elitrapport.se/Data/report2993.html","020000001035","","http://www.elitrapport.se/team.asp?teamID=137","Sandvikens AIK/BK","","http://www.elitrapport.se/team.asp?teamID=145","Bollnäs GIF","","http://www.elitrapport.se/Data/report2993.html","7 - 0","","http://www.elitrapport.se/Data/report2993.html","Matchrapport","","2012-11-09 19:00","1352419200000","-","1502","Keijo Hyvärinen"
"http://www.elitrapport.se/Data/report2994.html","020000001030","","http://www.elitrapport.se/team.asp?teamID=132","Västerås SK/BK","","http://www.elitrapport.se/team.asp?teamID=171","IFK Vänersborg","","http://www.elitrapport.se/Data/report2994.html","6 - 2","","http://www.elitrapport.se/Data/report2994.html","Matchrapport","","2012-11-09 19:00","1352419200000","-","1521","Håkan Sjösten"
"http://www.elitrapport.se/Data/report2995.html","020000001029","","http://www.elitrapport.se/team.asp?teamID=117","Hammarby IF","","http://www.elitrapport.se/team.asp?teamID=114","Edsbyns IF Bandy","","http://www.elitrapport.se/Data/report2995.html","6 - 1","","http://www.elitrapport.se/Data/report2995.html","Matchrapport","","2012-11-09 19:00","1352419200000","-","3383","Roland Fager"
