Source page: http://elitrapport.se/schema1112.asp?gamesectionID=112,
matchnr_link,matchnr_link/_text,matchnr_link/_title,match_link_1,match_link_1/_text,match_link_1/_title,match_link_2,match_link_2/_text,match_link_2/_title,resultat_link,resultat_link/_text,resultat_link/_title,rapport_link,rapport_link/_text,rapport_link/_title,tid_value,tid_value_dates,match_label,publik_number,domare_value
"http://www.elitrapport.se/Data/report1607.html","020000001006","","http://www.elitrapport.se/team.asp?teamID=115","Villa Lidköping BK","","http://www.elitrapport.se/team.asp?teamID=137","Sandvikens AIK/BK","","http://www.elitrapport.se/Data/report1607.html","5 - 7","","http://www.elitrapport.se/Data/report1607.html","Matchrapport","","2011-10-25 19:15","1319500800000","-","2755","Peter Öhrlund"
"http://www.elitrapport.se/Data/report1719.html","020000001118","","http://www.elitrapport.se/team.asp?teamID=131","Tillberga Bandy","","http://www.elitrapport.se/team.asp?teamID=114","Edsbyns IF Bandy","","http://www.elitrapport.se/Data/report1719.html","2 - 7","","http://www.elitrapport.se/Data/report1719.html","Matchrapport","","2011-10-28 19:00","1319760000000","-","622","Mikael Karlsson (Uppsala)"
"http://www.elitrapport.se/Data/report1740.html","020000001134","","http://www.elitrapport.se/team.asp?teamID=171","IFK Vänersborg","","http://www.elitrapport.se/team.asp?teamID=117","Hammarby IF","","http://www.elitrapport.se/Data/report1740.html","6 - 6","","http://www.elitrapport.se/Data/report1740.html","Matchrapport","","2011-10-28 19:00","1319760000000","-","2342","Jonas Kandell"
"http://www.elitrapport.se/Data/report1691.html","020000001091","","http://www.elitrapport.se/team.asp?teamID=145","Bollnäs GIF","","http://www.elitrapport.se/team.asp?teamID=181","Kalix BF","","http://www.elitrapport.se/Data/report1691.html","8 - 1","","http://www.elitrapport.se/Data/report1691.html","Matchrapport","","2011-10-28 19:00","1319760000000","-","2105","Roland Fager"
"http://www.elitrapport.se/Data/report1684.html","020000001082","","http://www.elitrapport.se/team.asp?teamID=116","IK Sirius Bandyklubb","","http://www.elitrapport.se/team.asp?teamID=130","GAIS Bandy","","http://www.elitrapport.se/Data/report1684.html","1 - 1","","http://www.elitrapport.se/Data/report1684.html","Matchrapport","","2011-10-28 19:00","1319760000000","-","1945","Håkan Sjösten"
"http://www.elitrapport.se/Data/report1608.html","020000001005","","http://www.elitrapport.se/team.asp?teamID=133","Vetlanda BK","","http://www.elitrapport.se/team.asp?teamID=209","Broberg/Söderhamn","","http://www.elitrapport.se/Data/report1608.html","7 - 5","","http://www.elitrapport.se/Data/report1608.html","Matchrapport","","2011-10-28 19:00","1319760000000","-","1239","Mikael Karlsson (Grästorp)"
"http://www.elitrapport.se/Data/report1609.html","020000001007","","http://www.elitrapport.se/team.asp?teamID=153","IFK Kungälv","","http://www.elitrapport.se/team.asp?teamID=132","Västerås SK/BK","","http://www.elitrapport.se/Data/report1609.html","6 - 3","","http://www.elitrapport.se/Data/report1609.html","Matchrapport","","2011-10-29 15:00","1319846400000","-","1006","Anders Kristiansson"
"http://www.elitrapport.se/Data/report1635.html","020000001033","","http://www.elitrapport.se/team.asp?teamID=132","Västerås SK/BK","","http://www.elitrapport.se/team.asp?teamID=116","IK Sirius Bandyklubb","","http://www.elitrapport.se/Data/report1635.html","10 - 1","","http://www.elitrapport.se/Data/report1635.html","Matchrapport","","2011-11-01 19:15","1320105600000","-","1552","Roland Fager"
"http://www.elitrapport.se/Data/report1726.html","020000001125","","http://www.elitrapport.se/team.asp?teamID=181","Kalix BF","","http://www.elitrapport.se/team.asp?teamID=131","Tillberga Bandy","","http://www.elitrapport.se/Data/report1726.html","8 - 0","","http://www.elitrapport.se/Data/report1726.html","Matchrapport","","2011-11-02 19:00","1320192000000","-","1065","Keijo Hyvärinen"
"http://www.elitrapport.se/Data/report1741.html","020000001139","","http://www.elitrapport.se/team.asp?teamID=114","Edsbyns IF Bandy","","http://www.elitrapport.se/team.asp?teamID=153","IFK Kungälv","","http://www.elitrapport.se/Data/report1741.html","2 - 2","","http://www.elitrapport.se/Data/report1741.html","Matchrapport","","2011-11-02 19:00","1320192000000","-","1276","Ulrik Bergman"
