Source page: http://elitrapport.se/schema1011.asp?gamesectionID=54,
matchnr_link,matchnr_link/_text,matchnr_link/_title,match_link_1,match_link_1/_text,match_link_1/_title,match_link_2,match_link_2/_text,match_link_2/_title,resultat_link,resultat_link/_text,resultat_link/_title,rapport_link,rapport_link/_text,rapport_link/_title,tid_value,tid_value_dates,match_label,publik_number,domare_value
"http://www.elitrapport.se/Data/report99.html","020000001102","","http://www.elitrapport.se/team.asp?teamID=115","Villa Lidköping BK","","http://www.elitrapport.se/team.asp?teamID=145","Bollnäs GIF","","http://www.elitrapport.se/Data/report99.html","8 - 6","","http://www.elitrapport.se/Data/report99.html","Matchrapport","","2010-10-27 19:00","1288137600000","-","3021","Roland Fager"
"http://www.elitrapport.se/Data/report106.html","020000001111","","http://www.elitrapport.se/team.asp?teamID=116","IK Sirius Bandyklubb","","http://www.elitrapport.se/team.asp?teamID=137","Sandvikens AIK","","http://www.elitrapport.se/Data/report106.html","5 - 1","","http://www.elitrapport.se/Data/report106.html","Matchrapport","","2010-10-27 19:00","1288137600000","-","1759","Thomas Nordin"
"http://www.elitrapport.se/Data/report22.html","020000001027","","http://www.elitrapport.se/team.asp?teamID=132","Västerås SK/BK","","http://www.elitrapport.se/team.asp?teamID=210","IF Boltic","","http://www.elitrapport.se/Data/report22.html","9 - 3","","http://www.elitrapport.se/Data/report22.html","Matchrapport","","2010-10-28 19:00","1288224000000","-","1836","Ronny Andersson"
"http://www.elitrapport.se/Data/report8.html","020000001008","","http://www.elitrapport.se/team.asp?teamID=117","Hammarby IF","","http://www.elitrapport.se/team.asp?teamID=114","Edsbyns IF Bandy","","http://www.elitrapport.se/Data/report8.html","6 - 5","","http://www.elitrapport.se/Data/report8.html","Matchrapport","","2010-10-29 19:00","1288310400000","-","3511","Håkan Sjösten"
"http://www.elitrapport.se/Data/report78.html","020000001083","","http://www.elitrapport.se/team.asp?teamID=153","IFK Kungälv","","http://www.elitrapport.se/team.asp?teamID=209","Broberg/Söderhamn","","http://www.elitrapport.se/Data/report78.html","2 - 7","","http://www.elitrapport.se/Data/report78.html","Matchrapport","","2010-10-29 19:00","1288310400000","-","821","Mikael Karlsson (Grästorp)"
"http://www.elitrapport.se/Data/report79.html","020000001080","","http://www.elitrapport.se/team.asp?teamID=145","Bollnäs GIF","","http://www.elitrapport.se/team.asp?teamID=116","IK Sirius Bandyklubb","","http://www.elitrapport.se/Data/report79.html","5 - 4","","http://www.elitrapport.se/Data/report79.html","Matchrapport","","2010-10-29 20:00","1288310400000","-","2312","Jonas Kandell"
"http://www.elitrapport.se/Data/report29.html","020000001030","","http://www.elitrapport.se/team.asp?teamID=171","IFK Vänersborg","","http://www.elitrapport.se/team.asp?teamID=211","HaparandaTornio","","http://www.elitrapport.se/Data/report29.html","4 - 5","","http://www.elitrapport.se/Data/report29.html","Matchrapport","","2010-10-30 17:00","1288396800000","-","2673","Peter Öhrlund"
"http://www.elitrapport.se/Data/report15.html","020000001017","","http://www.elitrapport.se/team.asp?teamID=114","Edsbyns IF Bandy","","http://www.elitrapport.se/team.asp?teamID=133","Vetlanda BK","","http://www.elitrapport.se/Data/report15.html","11 - 4","","http://www.elitrapport.se/Data/report15.html","Matchrapport","","2010-10-31 17:00","1288483200000","-","1690","Ronny Andersson"
"http://www.elitrapport.se/Data/report23.html","020000001026","","http://www.elitrapport.se/team.asp?teamID=131","Tillberga Bandy","","http://www.elitrapport.se/team.asp?teamID=171","IFK Vänersborg","","http://www.elitrapport.se/Data/report23.html","5 - 5","","http://www.elitrapport.se/Data/report23.html","Matchrapport","","2010-11-03 19:00","1288742400000","-","639","Peter Öhrlund"
"http://www.elitrapport.se/Data/report24.html","020000001023","","http://www.elitrapport.se/team.asp?teamID=133","Vetlanda BK","","http://www.elitrapport.se/team.asp?teamID=115","Villa Lidköping BK","","http://www.elitrapport.se/Data/report24.html","4 - 2","","http://www.elitrapport.se/Data/report24.html","Matchrapport","","2010-11-03 19:00","1288742400000","-","646","Anders Kristiansson"
