Source page: http://elitrapport.se/schema1314.asp?gamesectionID=10105,
matchnr_link,matchnr_link/_text,matchnr_link/_title,match_link_1,match_link_1/_text,match_link_1/_title,match_link_2,match_link_2/_text,match_link_2/_title,resultat_link,resultat_link/_text,resultat_link/_title,rapport_link,rapport_link/_text,rapport_link/_title,tid_value,tid_value_dates,match_label,publik_number,domare_value
"http://www.elitrapport.se/Data/report5296.html","020000001076","","http://www.elitrapport.se/team.asp?teamID=132","Västerås SK/BK","","http://www.elitrapport.se/team.asp?teamID=117","Hammarby IF","","http://www.elitrapport.se/Data/report5296.html","3 - 4","","http://www.elitrapport.se/Data/report5296.html","Matchrapport","","2013-10-20 14:45","1382227200000","-","3478","Håkan Sjösten"
"http://www.elitrapport.se/Data/report5221.html","020000001005","","http://www.elitrapport.se/team.asp?teamID=181","Kalix BF","","http://www.elitrapport.se/team.asp?teamID=133","Vetlanda BK","","http://www.elitrapport.se/Data/report5221.html","2 - 4","","http://www.elitrapport.se/Data/report5221.html","Matchrapport","","2013-10-25 19:00","1382659200000","-","1210","Keijo Hyvärinen"
"http://www.elitrapport.se/Data/report5222.html","020000001006","","http://www.elitrapport.se/team.asp?teamID=137","Sandvikens AIK/BK","","http://www.elitrapport.se/team.asp?teamID=132","Västerås SK/BK","","http://www.elitrapport.se/Data/report5222.html","7 - 5","","http://www.elitrapport.se/Data/report5222.html","Matchrapport","","2013-10-25 19:00","1382659200000","-","1605","Ulrik Bergman"
"http://www.elitrapport.se/Data/report5223.html","020000001007","","http://www.elitrapport.se/team.asp?teamID=171","IFK Vänersborg","","http://www.elitrapport.se/team.asp?teamID=115","Villa Lidköping BK","","http://www.elitrapport.se/Data/report5223.html","5 - 5","","http://www.elitrapport.se/Data/report5223.html","Matchrapport","","2013-10-25 19:00","1382659200000","-","3627","Håkan Sjösten"
"http://www.elitrapport.se/Data/report5225.html","020000001003","","http://www.elitrapport.se/team.asp?teamID=116","IK Sirius Bandyklubb","","http://www.elitrapport.se/team.asp?teamID=117","Hammarby IF","","http://www.elitrapport.se/Data/report5225.html","3 - 3","","http://www.elitrapport.se/Data/report5225.html","Matchrapport","","2013-10-25 19:00","1382659200000","-","2150","Jonas Kandell"
"http://www.elitrapport.se/Data/report5226.html","020000001004","","http://www.elitrapport.se/team.asp?teamID=145","Bollnäs GIF","","http://www.elitrapport.se/team.asp?teamID=114","Edsbyns IF Bandy","","http://www.elitrapport.se/Data/report5226.html","3 - 5","","http://www.elitrapport.se/Data/report5226.html","Matchrapport","","2013-10-25 19:00","1382659200000","-","3127","Roland Fager"
"http://www.elitrapport.se/Data/report5230.html","020000001014","","http://www.elitrapport.se/team.asp?teamID=171","IFK Vänersborg","","http://www.elitrapport.se/team.asp?teamID=137","Sandvikens AIK/BK","","http://www.elitrapport.se/Data/report5230.html","4 - 5","","http://www.elitrapport.se/Data/report5230.html","Matchrapport","","2013-10-29 19:15","1383004800000","-","1606","Jonas Kandell"
"http://www.elitrapport.se/Data/report5228.html","020000001012","","http://www.elitrapport.se/team.asp?teamID=132","Västerås SK/BK","","http://www.elitrapport.se/team.asp?teamID=145","Bollnäs GIF","","http://www.elitrapport.se/Data/report5228.html","4 - 2","","http://www.elitrapport.se/Data/report5228.html","Matchrapport","","2013-10-30 19:00","1383091200000","-","1428","Mikael Karlsson (Grästorp)"
"http://www.elitrapport.se/Data/report5229.html","020000001013","","http://www.elitrapport.se/team.asp?teamID=115","Villa Lidköping BK","","http://www.elitrapport.se/team.asp?teamID=181","Kalix BF","","http://www.elitrapport.se/Data/report5229.html","9 - 2","","http://www.elitrapport.se/Data/report5229.html","Matchrapport","","2013-10-30 19:00","1383091200000","-","3170","Anders Kristiansson"
"http://www.elitrapport.se/Data/report5232.html","020000001010","","http://www.elitrapport.se/team.asp?teamID=114","Edsbyns IF Bandy","","http://www.elitrapport.se/team.asp?teamID=153","IFK Kungälv","","http://www.elitrapport.se/Data/report5232.html","7 - 6","","http://www.elitrapport.se/Data/report5232.html","Matchrapport","","2013-10-30 19:00","1383091200000","-","2236","Christoffer Aidesjö"
